Movie Name,Genre,Language,Rating,Duration,Release Year,Keywords
Inception,Sci-Fi,English,8.8,148,2010,dream space action mind-bending heist thriller
Interstellar,Sci-Fi,English,8.6,169,2014,space future science wormhole time travel universe
The Dark Knight,Action,English,9.0,152,2008,batman villain crime hero action city chaos
The Matrix,Sci-Fi,English,8.7,136,1999,simulation virtual reality action hacker dystopia
Avengers: Endgame,Action,English,8.4,181,2019,superhero marvel universe battle time travel epic
Titanic,Romance,English,7.9,194,1997,love ship ocean disaster drama emotion
The Shawshank Redemption,Drama,English,9.3,142,1994,prison hope friendship escape justice redemption
Forrest Gump,Drama,English,8.8,142,1994,life journey history heart friendship destiny love
Pulp Fiction,Crime,English,8.9,154,1994,crime violence dialogue twist dark humour
The Godfather,Crime,English,9.2,175,1972,mafia family power crime drama classic
Schindler's List,Drama,English,9.0,195,1993,war history tragedy hope humanity heroism
Goodfellas,Crime,English,8.7,146,1990,mafia crime gangster violence ambition greed
The Lion King,Animation,English,8.5,88,1994,lion family betrayal courage nature kingdom
Toy Story,Animation,English,8.3,81,1995,toys friendship adventure imagination loyalty
Finding Nemo,Animation,English,8.1,100,2003,ocean fish family adventure friendship journey
The Silence of the Lambs,Thriller,English,8.6,118,1991,psychology serial killer mystery suspense dark
Se7en,Thriller,English,8.6,127,1995,detective serial killer mystery crime dark suspense
Gravity,Sci-Fi,English,7.7,91,2013,space astronaut survival isolation debris orbit
The Martian,Sci-Fi,English,8.0,144,2015,space mars survival science stranded astronaut
Arrival,Sci-Fi,English,7.9,116,2016,alien language time communication first contact
Blade Runner 2049,Sci-Fi,English,8.0,164,2017,future android dystopia identity mystery philosophy
Ex Machina,Sci-Fi,English,7.7,108,2014,artificial intelligence robot consciousness identity thriller
Contact,Sci-Fi,English,7.5,150,1997,alien space science communication universe signal
Jurassic Park,Adventure,English,8.1,127,1993,dinosaur science park adventure survival chaos
The Lord of the Rings: Fellowship,Fantasy,English,8.8,178,2001,quest epic fantasy adventure friendship magic darkness
Harry Potter and the Sorcerer's Stone,Fantasy,English,7.6,152,2001,magic school wizard adventure friendship mystery
The Avengers,Action,English,8.0,143,2012,superhero marvel teamwork action battle save world
Spider-Man: Into the Spider-Verse,Animation,English,8.4,117,2018,spider-man multiverse animation hero adventure identity
WALL-E,Animation,English,8.4,98,2008,robot love space future environment survival hope
Up,Animation,English,8.2,96,2009,adventure balloon journey friendship elderly widower courage
Coco,Animation,English,8.4,105,2017,music death memory family tradition culture love
Spirited Away,Animation,Japanese,8.6,125,2001,spirit world magic adventure girl courage mystery
Your Name,Romance,Japanese,8.4,106,2016,body swap love time dream connection mystery
Parasite,Thriller,Korean,8.5,132,2019,class society obsession wealth dark twist crime
Oldboy,Thriller,Korean,8.4,120,2003,mystery revenge identity dark psychology thriller
3 Idiots,Comedy,Hindi,8.4,170,2009,education friendship comedy engineering life inspiration
Dangal,Drama,Hindi,8.4,161,2016,sports wrestling father daughters achievement inspiration
Taare Zameen Par,Drama,Hindi,8.5,165,2007,child education empathy love disability inspiration teacher
PK,Comedy,Hindi,8.1,153,2014,alien religion comedy society satire love tolerance
Lagaan,Drama,Hindi,8.1,224,2001,cricket history sports village colonial era struggle
Bahubali: The Beginning,Action,Telugu,8.1,159,2015,epic kingdom warrior battle fantasy visual effects
RRR,Action,Telugu,7.8,187,2022,revolution fighters history friendship epic battle
K.G.F: Chapter 1,Action,Kannada,8.2,156,2018,gold mine power ambition action thriller rise
Vikram,Action,Tamil,8.4,174,2022,undercover agent action crime mystery dark
The Grand Budapest Hotel,Comedy,English,8.1,99,2014,quirky mystery comedy adventure hotel concierge
Whiplash,Drama,English,8.5,107,2014,music drumming ambition obsession perfectionism mentor
La La Land,Romance,English,8.0,128,2016,music love dreams jazz ambition sacrifice relationship
The Truman Show,Drama,English,8.1,103,1998,reality tv surveillance identity freedom illusion society
Eternal Sunshine of the Spotless Mind,Romance,English,8.3,108,2004,memory love loss relationship psychology surreal
A Beautiful Mind,Drama,English,8.2,135,2001,genius mathematician schizophrenia love struggle triumph
